"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"C2H3orf33",1.73499855356905e-40,1.95535953986414,0.37,0.534,5.20499566070715e-37
"PIN4",3.04215474376305e-40,1.84767448053524,0.311,0.438,9.12646423128914e-37
"SLC35F2",4.18634365919428e-40,-0.365020638864154,0.285,0.439,1.25590309775828e-36
"LOC114679627",4.5352802006842e-40,4.04222343532599,0.36,0.487,1.36058406020526e-36
"WDSUB1",4.74157708728572e-40,2.20528021987089,0.233,0.338,1.42247312618572e-36
"SDK1",5.33795023581646e-40,2.61797617781959,0.181,0.241,1.60138507074494e-36
"LOC114671388",5.43617562600483e-40,5.13132236630536,0.313,0.471,1.63085268780145e-36
"ADGRL1",5.45479204376175e-40,5.17213536786577,0.207,0.329,1.63643761312853e-36
"PANK1",5.46101161262048e-40,1.23244843862582,0.256,0.344,1.63830348378614e-36
"LOC114669793",7.1792771184335e-40,-3.08736734752011,0.259,0.401,2.15378313553005e-36
"TMEM53",7.37031735640519e-40,3.29567703212203,0.248,0.371,2.21109520692156e-36
"NDC80",7.9841277445705e-40,6.60795980083494,0.291,0.394,2.39523832337115e-36
"KALRN",1.07544264400498e-39,4.06026908860713,0.22,0.265,3.22632793201494e-36
"THRA",1.10222033031889e-39,0.939476309076047,0.245,0.388,3.30666099095667e-36
"SPRED1",1.19526617175392e-39,1.48118472851664,0.144,0.193,3.58579851526175e-36
"ADCY10",1.26944878314171e-39,4.5767622888583,0.236,0.351,3.80834634942513e-36
"LOC106993829",1.49214887646606e-39,9.49985613672302,0.233,0.352,4.47644662939817e-36
"LOC106995272",1.50559381927403e-39,7.77130992478989,0.277,0.407,4.5167814578221e-36
"IRAK1BP1",1.81406045097208e-39,1.02947218637958,0.331,0.492,5.44218135291625e-36
"STMN1",2.05023023793917e-39,2.09446134146674,0.165,0.256,6.15069071381751e-36
"REELD1",2.20016907241128e-39,2.14070740405861,0.272,0.393,6.60050721723384e-36
"LOC114673989",2.28788900068088e-39,8.3365029989319,0.26,0.436,6.86366700204264e-36
"PCCB",2.97973987698193e-39,1.37013283563256,0.305,0.449,8.9392196309458e-36
"TMEM232",3.18697123367998e-39,0.264984384591335,0.164,0.305,9.56091370103995e-36
"RFXAP",3.44297459422613e-39,9.41356068385267,0.336,0.47,1.03289237826784e-35
"LOC107000962",3.50796427685108e-39,1.49686267655494,0.293,0.415,1.05238928305532e-35
"LOC106995337",3.84191336374697e-39,9.51442760798183,0.27,0.347,1.15257400912409e-35
