"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"MXI1",1.14142488937803e-35,3.76445099890351,0.328,0.414,3.42427466813408e-32
"RAB28",1.21683001625083e-35,1.28371541194325,0.333,0.384,3.65049004875249e-32
"GALK2",1.28469854364004e-35,3.34071302324897,0.36,0.417,3.85409563092011e-32
"PRDM10",1.33508909804259e-35,3.91301604403872,0.36,0.434,4.00526729412778e-32
"PHLDB3",1.38801542117926e-35,3.1619908746973,0.292,0.37,4.16404626353779e-32
"SMC4",1.49252933694766e-35,2.67791899502283,0.335,0.356,4.47758801084299e-32
"RIPK2",1.51148374513672e-35,6.27132020733932,0.19,0.219,4.53445123541016e-32
"ZFP14",1.55432717660279e-35,1.46505850920531,0.257,0.331,4.66298152980837e-32
"DOCK9",1.71695467431508e-35,1.17851402575858,0.318,0.34,5.15086402294523e-32
"CEP128",1.74198570488944e-35,2.22001823892401,0.343,0.389,5.22595711466832e-32
"SMC6",2.17598928787248e-35,0.26813233021208,0.148,0.139,6.52796786361745e-32
"SPIN1",2.21418802662155e-35,1.04313111948505,0.312,0.366,6.64256407986464e-32
"GCH1",2.25626986616433e-35,5.8928766200607,0.307,0.394,6.76880959849298e-32
"KDM2B",2.49576190049637e-35,1.37968860879619,0.23,0.226,7.4872857014891e-32
"VPS54",2.51267662837444e-35,1.18112308888104,0.385,0.446,7.53802988512332e-32
"MAPK8",2.83816524495414e-35,-0.922062332300772,0.37,0.424,8.51449573486243e-32
"SCML2",2.88842615221451e-35,5.4457831259288,0.196,0.273,8.66527845664354e-32
"GREB1L",3.39498485434998e-35,3.70234399988744,0.182,0.232,1.01849545630499e-31
"LOC106997543",3.53450633149256e-35,5.74856391747883,0.257,0.336,1.06035189944777e-31
"LOC694064",3.62635511812531e-35,2.3540608849659,0.175,0.175,1.08790653543759e-31
"HJURP",3.62674854847768e-35,4.32595166249859,0.179,0.243,1.0880245645433e-31
"FER",3.75105702144604e-35,1.56725440827899,0.227,0.256,1.12531710643381e-31
"NEDD4",4.47087966430283e-35,1.17663677133592,0.378,0.426,1.34126389929085e-31
"IGF1R",4.64337539006501e-35,2.21092053343767,0.246,0.29,1.3930126170195e-31
"COA1",4.67387622026353e-35,1.01090885456666,0.352,0.401,1.40216286607906e-31
"LNX2",4.69496092149401e-35,0.854570075426845,0.36,0.428,1.4084882764482e-31
"BMPR1B",5.26200805650372e-35,2.64680136396513,0.374,0.461,1.57860241695112e-31
"PLCB1",5.73813850037394e-35,3.5390450275571,0.176,0.204,1.72144155011218e-31
"PATL2",5.74276124550314e-35,1.26458274273744,0.274,0.34,1.72282837365094e-31
"RYR2",5.81394424506823e-35,4.47106488945847,0.118,0.153,1.74418327352047e-31
