Gene ID	Gene name	P-value (After vs Before)	FDR step up (After vs Before)	Ratio (After vs Before)	Log2(Ratio) (After vs Before)	Fold change (After vs Before)	LSMean(After) (After vs Before)	LSMean(Before) (After vs Before)	Pct(After) (After vs Before)	Pct(Before) (After vs Before)
IPO5	IPO5	6.772249427910991E-12	5.098244276740447E-11	0.9945254154152057E0	-0.007919854823857618E0	-1.005504720643573E0	1.211171721501692E0	1.217838883479955E0	0.1980468655974658E0	0.2272860140589614E0
ENO2	ENO2	6.767142401997701E-12	5.096299113928022E-11	1.00033022247124E0	4.763316782642842E-4	1.00033022247124E0	1.292107315580629E0	1.291680773563529E0	0.2634771442941145E0	0.2892573284610062E0
ARPC2	ARPC2	6.752931547282471E-12	5.087493897501356E-11	0.9766615467703067E0	-0.03406939901061164E0	-1.0238961524664E0	2.246551226273804E0	2.30023515690042E0	0.6527315116209701E0	0.702526577998786E0
ZSCAN25	ZSCAN25	6.622369319586606E-12	4.990993116306353E-11	0.9613392399300213E0	-0.05688247200416979E0	-1.040215522745949E0	1.16933335035271E0	1.216358702301416E0	0.1551341758809393E0	0.2075037526298891E0
SIPA1L1	SIPA1L1	6.609490732501003E-12	4.98314646566089E-11	0.957757397448893E0	-0.06226783122424907E0	-1.044105743963581E0	2.298923832264831E0	2.400319578202479E0	0.6102592634771473E0	0.6678834128566302E0
MACO1	MACO1	6.595501922390652E-12	4.974456603003972E-11	1.008671107603577E0	0.01245583868764438E0	1.008671107603577E0	1.327120134861786E0	1.315711459223599E0	0.2725142650635343E0	0.292061456959839E0
DDX24	DDX24	6.567524302170088E-12	4.955205672589892E-11	1.00037290641665E0	5.378899529409045E-4	1.00037290641665E0	1.462304077239022E0	1.461758977936554E0	0.3619021722355715E0	0.3920119294178095E0
SP4	SP4	6.546652109307145E-12	4.941303411950139E-11	0.9992234579650542E0	-0.001120748553380434E0	-1.00077714552111E0	1.413576683515228E0	1.414675238303568E0	0.3181007823039326E0	0.34808373370101E0
NOM1	NOM1	6.509237593377279E-12	4.915319366480743E-11	0.9872186319316563E0	-0.01855847193392128E0	-1.01294684647851E0	1.165928491060342E0	1.181023588239021E0	0.1607307760088605E0	0.1943983826452633E0
UNKL	UNKL	6.509792704889588E-12	4.915319366480743E-11	0.9829772947316358E0	-0.0247700019800862E0	-1.017317495897005E0	1.153211036404909E0	1.173181763796232E0	0.1590051213982638E0	0.1972990900258982E0
LOC106996507	.	6.490696868866082E-12	4.904567727547966E-11	0.9794420163288088E0	-0.02996800844961274E0	-1.020989485164469E0	1.261817695042008E0	1.288302598832357E0	0.2431497929570115E0	0.2860591452145951E0
ATF6B	ATF6B	6.468381386071152E-12	4.88953470194106E-11	0.9946500163067866E0	-0.007739115522795897E0	-1.00537875997135E0	1.203282649132868E0	1.209754817680244E0	0.2013065126921439E0	0.2300336541990836E0
PTEN	PTEN	6.456501999707574E-12	4.882382156124806E-11	0.9711278000203553E0	-0.0422669286732482E0	-1.029730587445895E0	2.147967353541566E0	2.211827684776961E0	0.6066572897405906E0	0.6595728498772633E0
PIK3R5	PIK3R5	6.448286349325401E-12	4.877995793396047E-11	0.9622842998942286E0	-0.05546490416392057E0	-1.039193926482971E0	2.249056900478354E0	2.337206271291721E0	0.5881591273829931E0	0.6457472138229406E0
EIF3K	EIF3K	6.241118732930331E-12	4.723046690435625E-11	1.019341025931483E0	0.02763679351646865E0	1.019341025931483E0	1.159966835293516E0	1.137957568453136E0	0.1585253220070933E0	0.1585547078531465E0
QSOX1	QSOX1	6.219802450857426E-12	4.709435972961274E-11	0.9899630475068177E0	-0.01455342037554656E0	-1.010138714286821E0	1.134942132998963E0	1.146448987017514E0	0.1338291405751124E0	0.163893172525387E0
MAPK1	MAPK1	6.220801651579701E-12	4.709435972961274E-11	0.9769814315422715E0	-0.03359695221924108E0	-1.023560906803921E0	1.972880923779103E0	2.019363787359495E0	0.5645451045422706E0	0.6149801099387868E0
OAS2	OAS2	6.197820034969908E-12	4.695557729419437E-11	0.9870323741478348E0	-0.01883068978364343E0	-1.013137994448623E0	1.211741709405564E0	1.227661565256899E0	0.1979703212952441E0	0.2349628653289304E0
ARHGAP12	ARHGAP12	6.184719403279322E-12	4.687390713224606E-11	0.9826078322143152E0	-0.02531235625465099E0	-1.017700009317544E0	1.733558113088358E0	1.764242107842525E0	0.4661045100056475E0	0.5116091029682661E0
ATP6	ATP6	6.182054868020296E-12	4.687130038448721E-11	1.002785279954421E0	0.004012723888573767E0	1.002785279954421E0	1.110693482268825E0	1.10760848256499E0	0.1207003755124302E0	0.1379059825903807E0
PPIG	PPIG	6.127542917511187E-12	4.647544568077016E-11	0.9965683805285986E0	-0.004959294474444793E0	-1.003443436033543E0	1.622856685449326E0	1.628444888637278E0	0.4450135875567606E0	0.4811634575161012E0
MED24	.	6.119327267128921E-12	4.643056804713371E-11	0.9887286686303188E0	-0.01635343045311027E0	-1.011399822547166E0	1.134844338758674E0	1.147781362839178E0	0.1355639017021731E0	0.1669504888713996E0
KCTD18	KCTD18	6.053935130978506E-12	4.595166545490563E-11	0.9738733321210524E0	-0.03819395605471647E0	-1.026827583236153E0	1.073207961372448E0	1.10199953728587E0	0.07756891874917088E0	0.1179872435519504E0
ATP2B4	ATP2B4	6.02551342154811E-12	4.575312785279276E-11	1.013961912018094E0	0.02000346065028135E0	1.013961912018094E0	2.713831576959146E0	2.676463035537294E0	0.6629784588330954E0	0.695564840568613E0
HNRNPAB	HNRNPAB	5.983880058124679E-12	4.545408402181357E-11	1.003861413963697E0	0.005560114719313255E0	1.003861413963697E0	1.155381482397922E0	1.150937237278555E0	0.1631912626709709E0	0.1795137251324467E0
DIS3L2	DIS3L2	5.930478330640187E-12	4.506538800687377E-11	0.9720123334522724E0	-0.04095347519463587E0	-1.028793530271704E0	2.526223005118799E0	2.598961883689762E0	0.6698116311376194E0	0.7200255391122481E0
PIP4K2B	PIP4K2B	5.878408870785279E-12	4.468652705010202E-11	0.9804731855229213E0	-0.02844991948481896E0	-1.01991570474889E0	1.246935056490003E0	1.2717686469161E0	0.2330833480523091E0	0.2764841203948267E0
NCOA1	NCOA1	5.861755525415844E-12	4.458346292547875E-11	1.002774985993675E0	0.003997914015869356E0	1.002774985993675E0	1.638852779414562E0	1.634317571045693E0	0.4270688274700204E0	0.4591251695305234E0
RAB11FIP4	RAB11FIP4	5.862643703835605E-12	4.458346292547875E-11	0.9845417073211395E0	-0.02247577177640645E0	-1.01570100338453E0	1.188230567569028E0	1.206886979732032E0	0.1843241201916153E0	0.2215819305118781E0
LTB	LTB	5.781153333828126E-12	4.399688584651864E-11	0.9959686771345849E0	-0.005827724133351285E0	-1.004047640209944E0	1.234971142561666E0	1.23996986141642E0	0.2177133704744458E0	0.2458642251296327E0
BIRC2	BIRC2	5.730971253115039E-12	4.363142004161989E-11	0.9964370675199323E0	-0.005149403966485294E0	-1.003575672359255E0	1.194489786226142E0	1.198760890338163E0	0.1893612887421909E0	0.2156803723760156E0
PPP4R1	PPP4R1	5.640821143515516E-12	4.296127656739306E-11	0.9917180995481176E0	-0.01199800873200826E0	-1.008351063125354E0	1.232859633995995E0	1.243155322624196E0	0.2084281472714977E0	0.2399051594118294E0
ZC3H4	ZC3H4	5.612288411782639E-12	4.276009103779168E-11	0.9856900867833034E0	-0.02079397824561655E0	-1.014517659666636E0	1.325214027313856E0	1.34445303354785E0	0.2820803588481307E0	0.3221495134200513E0
PPTC7	PPTC7	5.569988914544398E-12	4.245382494187463E-11	0.9701158199080446E0	-0.0437710972451627E0	-1.030804754936156E0	1.198172451411091E0	1.235081860148063E0	0.1876331625010809E0	0.2371337046131574E0
MSANTD2	MSANTD2	5.463518526482859E-12	4.165803971230682E-11	0.9960107400227428E0	-0.005766795873112057E0	-1.004005237912561E0	1.133542210462396E0	1.138082316699229E0	0.131504878553452E0	0.1553259945183357E0
ZNF260	ZNF260	5.409672709788555E-12	4.126305490646119E-11	0.9879757382678165E0	-0.01745248092202147E0	-1.012170604263284E0	1.049181692217018E0	1.061950867393274E0	0.05193035381231215E0	0.07788402007366887E0
TMBIM6	TMBIM6	5.405786929202339E-12	4.124899297167694E-11	0.9848277973145727E0	-0.02205661161707036E0	-1.015405944802532E0	1.287125681141779E0	1.30695506833937E0	0.2680000203067435E0	0.3089107127431224E0
CAND1	CAND1	5.286882043265008E-12	4.035693254341143E-11	0.9983598625207936E0	-0.002368160793572988E0	-1.001642831949459E0	1.50055687784199E0	1.503022040622889E0	0.3847726186355163E0	0.4180031788656278E0
ITGA5	ITGA5	5.152878124192736E-12	3.934889691963889E-11	0.9932712566444902E0	-0.009740331640744386E0	-1.006774326056953E0	1.243401651752993E0	1.251824859961723E0	0.2164089679861695E0	0.2472738826077266E0
EZH1	EZH1	5.150324611236117E-12	3.934427250293007E-11	0.979995266778112E0	-0.02915331363118561E0	-1.020413091675082E0	1.174689891727748E0	1.198668944177379E0	0.1662878439704114E0	0.2060132969799103E0
LINGO1	LINGO1	5.11268805070131E-12	3.907153736211315E-11	1.000785063062451E0	0.001132162235732697E0	1.000785063062451E0	1.001313383060756E0	1.00052790555915E0	0.001307060305977649E0	0.001616922055747117E0
IL6ST	IL6ST	5.100475597430433E-12	3.899296219413319E-11	0.9721558223326998E0	-0.04074051964758077E0	-1.028641681742427E0	1.851679357968931E0	1.904714568828898E0	0.4605656887157872E0	0.5100110722140246E0
FBXO42	FBXO42	5.089595411789115E-12	3.89245165192414E-11	0.9711492385399152E0	-0.04223508023428678E0	-1.029707855718922E0	1.287371830789728E0	1.325616887395433E0	0.2555765821120881E0	0.3059530982612692E0
SLC6A6	SLC6A6	5.074607400956663E-12	3.882459101686465E-11	0.9602365987884292E0	-0.05853817046727577E0	-1.041410003807126E0	1.362596093057659E0	1.419021202458753E0	0.2966696537336065E0	0.3534994715824163E0
CBFA2T2	CBFA2T2	5.072164910302497E-12	3.882060888908293E-11	0.9664379373421672E0	-0.04925100638626254E0	-1.034727592286094E0	1.345657741007761E0	1.392389194394106E0	0.2739998732495306E0	0.3271782211493104E0
LOC106997771	.	4.979683332351215E-12	3.812723424822966E-11	1.000255210196474E0	3.681435098470054E-4	1.000255210196474E0	1.000530974992657E0	1.000275694436151E0	7.283232417495864E-4	5.897141512702536E-4
EEF1A1	EEF1A1	4.948264020754321E-12	3.790103780477656E-11	0.9741406471578534E0	-0.03779801014830023E0	-1.026545810317631E0	2.645075497335214E0	2.715291169763288E0	0.7036640914264196E0	0.7526349067619325E0
UVRAG	UVRAG	4.939937348069653E-12	3.786267303731289E-11	0.9499743651601292E0	-0.07403951171255937E0	-1.052659983968555E0	2.428117532675137E0	2.555982163019577E0	0.658260079752133E0	0.7196584529967704E0
RRN3	RRN3	4.941380638001623E-12	3.786267303731289E-11	0.98171023963416E0	-0.02663083157982037E0	-1.018630507890654E0	1.12129074614337E0	1.142180962237111E0	0.1265358557768944E0	0.164213713790737E0
ARPP19	ARPP19	4.913847106990923E-12	3.768029000265857E-11	0.9970009134211855E0	-0.004333268511021662E0	-1.003008108155612E0	1.253084157099466E0	1.256853569772105E0	0.2366742440408611E0	0.2644314834799958E0
UBE2V2	UBE2V2	4.893085936430453E-12	3.753533981922609E-11	0.9863135712051675E0	-0.0198817102487262E0	-1.013876346422071E0	1.138661461734362E0	1.15446192263485E0	0.1433177756028073E0	0.1768914025731861E0
SFMBT2	SFMBT2	4.886757665190123E-12	3.750103773613606E-11	0.8998854793250237E0	-0.1521866811365874E0	-1.111252512653131E0	3.303434470965967E0	3.670949856245898E0	0.722514143980424E0	0.7854126917169425E0
FRMD8	FRMD8	4.862554803253273E-12	3.732948761539703E-11	0.9865708634847674E0	-0.01950541421088902E0	-1.013611933022021E0	1.131218711412481E0	1.146616784745485E0	0.1382089021650079E0	0.1727074940974752E0
MBD2	MBD2	4.838018874409041E-12	3.715524913510031E-11	0.9855140919434674E0	-0.02105159426131727E0	-1.014698834014606E0	1.376504289868309E0	1.396737297945477E0	0.3099432610266039E0	0.3511328570717588E0
APP	APP	4.774292072795567E-12	3.667978367680672E-11	0.9668508046227304E0	-0.04863481122168143E0	-1.034285740073625E0	1.290133282199466E0	1.334366456573289E0	0.2266314052406094E0	0.2780736608349326E0
DPM1	DPM1	4.77018424760449E-12	3.666216949509722E-11	1.019594504915611E0	0.02799550311735738E0	1.019594504915611E0	1.303079104655902E0	1.278036610018563E0	0.2636806615545337E0	0.272659731840343E0
SMC6	SMC6	4.767852779252719E-12	3.665819963279269E-11	0.9841955944310864E0	-0.02298303636144516E0	-1.016058195808171E0	1.289462098055428E0	1.310168532913217E0	0.2304033137461259E0	0.2683991295105379E0
PPIB	PPIB	4.757416682821256E-12	3.659188962666555E-11	0.9864154504736192E0	-0.01973269767388173E0	-1.013771630928792E0	1.158959819008772E0	1.17492058589746E0	0.1592824456830782E0	0.1937874204331036E0
CACUL1	CACUL1	4.705791312176171E-12	3.620859920888925E-11	0.9916952021547687E0	-0.0120313189410372E0	-1.008374345088276E0	1.298039357932148E0	1.308909587453636E0	0.2539249478662629E0	0.2882224240458471E0
TMX3	TMX3	4.702016553892448E-12	3.619505152913486E-11	0.9637584106655318E0	-0.05325654948614262E0	-1.037604433780704E0	1.332077001203822E0	1.382169002586389E0	0.2875484851403794E0	0.3448340807595189E0
AFG3L2	AFG3L2	4.70223859849737E-12	3.619505152913486E-11	0.9849697724794705E0	-0.02184864418953056E0	-1.015259582517638E0	1.261375364740466E0	1.280623426204439E0	0.232833110619924E0	0.271749998080296E0
TRIM27	TRIM27	4.647615625685821E-12	3.580188421342571E-11	0.9855806997404345E0	-0.02095409033729395E0	-1.014630258347554E0	1.129348967194489E0	1.145871634349087E0	0.1334871306530274E0	0.1678691360119803E0
DEPDC5	.	4.557798582993664E-12	3.512852741323814E-11	0.9860540105661041E0	-0.02026142329249074E0	-1.014143230780928E0	1.391626856628312E0	1.411308956422543E0	0.3161858573630841E0	0.3567666522071211E0
RNF10	RNF10	4.558464716808454E-12	3.512852741323814E-11	0.979276136688745E0	-0.03021236594873315E0	-1.021162430630985E0	1.339770670113621E0	1.368123473981329E0	0.2994991579399963E0	0.3446768328909675E0
LOC114675716	.	4.488742710861991E-12	3.461764997097766E-11	0.9749099263714162E0	-0.03665916297914992E0	-1.025735786404359E0	1.103136157435507E0	1.131526233958192E0	0.1163616407709925E0	0.1604628709523645E0
TGIF2	TGIF2	4.480193993572356E-12	3.456491912993677E-11	0.9881474543038984E0	-0.01720175376568705E0	-1.011994713587003E0	1.108970983028336E0	1.122272772346058E0	0.1091684626142101E0	0.1398223818797192E0
CAPN7	CAPN7	4.454547841703495E-12	3.438019002931876E-11	0.9903905239746389E0	-0.01393058392989145E0	-1.009702714023147E0	1.391881928109258E0	1.405386960411689E0	0.3132517717122312E0	0.3500619075380106E0
UEVLD	UEVLD	4.415579013539184E-12	3.409245600744053E-11	0.9958501491019296E0	-0.005999426301106284E0	-1.004167143924026E0	1.204593807971056E0	1.209613523738862E0	0.186392108100294E0	0.2135802875917286E0
TBCK	TBCK	4.39315250844174E-12	3.393227317992592E-11	1.001750625799589E0	0.002523411029187287E0	1.001750625799589E0	1.62264106863191E0	1.619805395516205E0	0.4078899457486735E0	0.4400764316583613E0
BRAP	BRAP	4.351075055808422E-12	3.362012776481198E-11	0.9827945752967844E0	-0.02503820036801966E0	-1.017506633772393E0	1.119022238306723E0	1.138612550815922E0	0.1196746243945892E0	0.1551513056854147E0
STAM	STAM	4.323652547100212E-12	3.342102340081519E-11	0.9871948159574231E0	-0.01859327638479102E0	-1.012971283717852E0	1.161614369234111E0	1.176681998788181E0	0.1568964258873274E0	0.1900062609463792E0
DHX37	DHX37	4.30211422042248E-12	3.32672676202501E-11	0.9815553806549394E0	-0.02685842613402967E0	-1.018791216174429E0	1.184491942209727E0	1.206749986352659E0	0.1784860530541381E0	0.2193913941972976E0
ENOPH1	.	4.284350652028489E-12	3.314259458815451E-11	0.9798937604887106E0	-0.02930275333765065E0	-1.020518795324568E0	1.166186546735161E0	1.190115289797885E0	0.1628792556120056E0	0.2027346652873614E0
FAM177A1	FAM177A1	4.248934537542952E-12	3.288121831007377E-11	1.004670506869886E0	0.006722430711812185E0	1.004670506869886E0	1.166371369305132E0	1.160949148332258E0	0.153797360952941E0	0.1712100475824049E0
FAXDC2	FAXDC2	4.239164574926226E-12	3.28181855440245E-11	0.9857663010698472E0	-0.02068243231036393E0	-1.014439222475657E0	1.165519499524525E0	1.182348694877875E0	0.160312540000724E0	0.194772302893805E0
LOC106994498	.	4.225952920933197E-12	3.272844980713524E-11	0.9722166377571816E0	-0.04065027139202384E0	-1.028577336741441E0	1.230010988951294E0	1.265161427178228E0	0.205844281478593E0	0.2540007425346756E0
ZMYM1	ZMYM1	4.219624649692814E-12	3.269197494226907E-11	0.99887363964873E0	-0.001625910345499709E0	-1.001127630469522E0	1.09922256066456E0	1.100462077516751E0	0.09822967782984682E0	0.1169022850156392E0
TRPM7	TRPM7	4.189870672632867E-12	3.247563035409418E-11	0.9861550661881311E0	-0.02011357644744951E0	-1.014039307089285E0	2.219844401354754E0	2.251009478595802E0	0.6411462618117003E0	0.6854782750946546E0
TAB3	TAB3	4.190092717237818E-12	3.247563035409418E-11	0.9987093642475174E0	-0.001863196412453027E0	-1.001292303645771E0	1.212680352889892E0	1.214247504131086E0	0.1924370303275451E0	0.2174789646786986E0
PDAP1	PDAP1	4.164779632276342E-12	3.230423157170414E-11	1.009023001379328E0	0.01295906205344893E0	1.009023001379328E0	1.134112048670634E0	1.123970461644888E0	0.1419671134479394E0	0.151926304625996E0
VASP	VASP	4.130584763117884E-12	3.205130658680562E-11	0.9887957351170895E0	-0.01625557427724952E0	-1.011331222905794E0	1.206417096036088E0	1.220087277068634E0	0.200876455345498E0	0.2346778002137797E0
TOB2	TOB2	4.009570453433752E-12	3.113114659730067E-11	1.012985003431969E0	0.01861281615832324E0	1.012985003431969E0	1.280833785211267E0	1.264415347583461E0	0.2576044335595731E0	0.2714735797384811E0
SPECC1L	SPECC1L	4.010458631853468E-12	3.113114659730067E-11	0.9739626865743812E0	-0.0380615925235445E0	-1.026733378788049E0	1.734432789735958E0	1.780800038486382E0	0.4626475273182075E0	0.5140263264839047E0
ZNF740	ZNF740	4.000022535421985E-12	3.107402121940511E-11	0.9727764368576293E0	-0.03981981145985121E0	-1.027985426158462E0	1.066547835220218E0	1.09639563090724E0	0.07493784520609734E0	0.1167870843839444E0
ZC3H15	ZC3H15	3.95306010148034E-12	3.072101113108884E-11	1.004485225223183E0	0.006456343907933898E0	1.004485225223183E0	1.226298973155759E0	1.220823305672109E0	0.2145987613222533E0	0.234834846249811E0
DDX60L	DDX60L	3.925748615074553E-12	3.052050443698068E-11	0.9774502184516507E0	-0.03290486706766553E0	-1.02307000512422E0	1.388151738624432E0	1.420176406347692E0	0.3002485310041159E0	0.3469059918284849E0
ZC3H7B	ZC3H7B	3.869349285423587E-12	3.010483959839524E-11	0.9628026641209975E0	-0.0546879610632847E0	-1.038634433893016E0	1.305076167794474E0	1.35549704672448E0	0.2723159094893989E0	0.3300781479300289E0
HSH2D	HSH2D	3.870792575355602E-12	3.010483959839524E-11	0.9942774834548961E0	-0.00827955885654251E0	-1.005755452215632E0	1.072976590699563E0	1.079152056195826E0	0.0787009805317432E0	0.1007242709202044E0
MYO18A	MYO18A	3.865685549442317E-12	3.008829160987897E-11	0.9631276417951766E0	-0.05420108603779971E0	-1.038283978784055E0	1.307978515950552E0	1.358053137705202E0	0.2683136096173089E0	0.3232240796642459E0
TAP1	.	3.841926776715364E-12	2.991489477104738E-11	0.9946364149930879E0	-0.007758843750480299E0	-1.005392508182952E0	1.263025713695558E0	1.26983659019194E0	0.2447041604431615E0	0.275437423624153E0
CLEC2B	CLEC2B	3.821831739969658E-12	2.977163221783166E-11	0.985102286140364E0	-0.02165456316505945E0	-1.015123012167605E0	1.204757934236179E0	1.222977503134651E0	0.1940966246580792E0	0.2298661594307511E0
DCAF6	DCAF6	3.822053784574587E-12	2.977163221783166E-11	0.9714211429805227E0	-0.04183120792741574E0	-1.029419636607652E0	1.687781190225834E0	1.737435099515509E0	0.4489489292954134E0	0.502050101369805E0
GPBP1L1	GPBP1L1	3.806732706834731E-12	2.967517839160475E-11	0.9692309613314772E0	-0.0450876035876454E0	-1.031745827254893E0	1.967107609925595E0	2.029555068302078E0	0.5618285701688499E0	0.6170435869558373E0
SMG9	SMG9	3.780420421151137E-12	2.948144079784195E-11	1.0026352360346E0	0.003796841366460002E0	1.0026352360346E0	1.11806712965019E0	1.115128502836306E0	0.1245891964225908E0	0.1403218308621825E0
TBRG1	TBRG1	3.729905273530672E-12	2.909873569516126E-11	1.0240722464399E0	0.03431749844716565E0	1.0240722464399E0	1.106625390629434E0	1.080612617397379E0	0.1113158662378029E0	0.09999873888513758E0
LOC114671785	.	3.688827021619555E-12	2.878938492375262E-11	0.9826683509644556E0	-0.02522350350053614E0	-1.017637333102805E0	1.14945362887971E0	1.16972692541849E0	0.1392620442546875E0	0.1756964404163558E0
ZBTB4	ZBTB4	3.665956427312253E-12	2.862195126356896E-11	0.9971001242478934E0	-0.004189714132273188E0	-1.002908309488271E0	1.223618248053951E0	1.227176908614788E0	0.2085180980173955E0	0.2354117001666576E0
NLRC5	NLRC5	3.65252272871429E-12	2.852809515644673E-11	0.965508852579546E0	-0.05063860783566276E0	-1.035723284492218E0	4.008925162286608E0	4.152137136366983E0	0.8388883437224328E0	0.8860261350523837E0
IL10RB	.	3.648858992733024E-12	2.851050442368342E-11	0.9763637525992005E0	-0.03450935867455333E0	-1.024208444176545E0	1.443148471806628E0	1.478084851024825E0	0.3443055859647298E0	0.3930602118693964E0
RAD17	RAD17	3.625544309215925E-12	2.833929719719165E-11	0.9764779512726779E0	-0.03434062624758489E0	-1.024088663442595E0	1.117102088576492E0	1.144011584819231E0	0.1163636212131201E0	0.1568976683150131E0
PPP1R15A	PPP1R15A	3.568589868052631E-12	2.790490830620482E-11	1.052413564279166E0	0.07370174824982548E0	1.052413564279166E0	1.404765343886455E0	1.334803533104048E0	0.3174873422919046E0	0.2996209161315094E0
MTMR14	MTMR14	3.55970808385565E-12	2.784623697820156E-11	0.9837459198303155E0	-0.02364234795494059E0	-1.01652264049287E0	1.316747104797317E0	1.338503243829911E0	0.2743586222774951E0	0.3154227667264476E0
SLFN12L	SLFN12L	3.544053939208427E-12	2.773452207056637E-11	0.969845945682594E0	-0.04417249300062439E0	-1.03109159186739E0	1.506586200317519E0	1.553428363570833E0	0.3539007970440801E0	0.4066329379638911E0
GRAP2	GRAP2	3.536282378036048E-12	2.76922532278133E-11	0.8937842898178463E0	-0.1620014084013363E0	-1.118838193277933E0	3.740711446398737E0	4.185250836262848E0	0.7942356741594522E0	0.8506696812096765E0
CCDC6	CCDC6	3.53728157875821E-12	2.76922532278133E-11	0.9959475219556323E0	-0.005858368466460437E0	-1.004068967445604E0	1.581856811939016E0	1.588293335810403E0	0.3935516389361016E0	0.4291391174567657E0
TGFBR1	TGFBR1	3.516520408197718E-12	2.75510780468493E-11	0.947173165826165E0	-0.07829988604666688E0	-1.055773153294263E0	1.590385499992923E0	1.679086314281002E0	0.415242750623624E0	0.4825777819609054E0
RETREG1	RETREG1	3.51385587293864E-12	2.75408851073398E-11	0.9283836636885763E0	-0.1072069583777764E0	-1.077140883788157E0	2.396955920851501E0	2.581859218987241E0	0.6050351221660133E0	0.6722660518603536E0
TBC1D1	TBC1D1	3.499867062828337E-12	2.744885650727027E-11	0.9227731036331396E0	-0.115952140953796E0	-1.083690016606252E0	2.731854178650291E0	2.960483100227394E0	0.688741603148032E0	0.7557313140120718E0
CKLF	CKLF	3.500755241248055E-12	2.744885650727027E-11	0.9757972758978735E0	-0.03534663914352315E0	-1.024803024869952E0	1.128193716158141E0	1.156176332958136E0	0.1219996984233293E0	0.1622863735144003E0
YPEL2	YPEL2	3.472333531817629E-12	2.724716110165209E-11	0.9719928151672875E0	-0.04098244521354281E0	-1.028814189154158E0	1.23808237481687E0	1.273756714553272E0	0.2125650355507289E0	0.2606630267155178E0
STAU2	STAU2	3.467004461299418E-12	2.721591764839707E-11	0.9409491841603144E0	-0.08781128238995148E0	-1.062756647047185E0	2.056984226422077E0	2.186073659501274E0	0.5465578428736503E0	0.6131236529692108E0
RHOF	RHOF	3.460232100849225E-12	2.717331569710445E-11	0.9851906999423571E0	-0.02152508581862603E0	-1.015031912155189E0	1.161963247236255E0	1.179429776696269E0	0.1618829247678179E0	0.1986439866609428E0
RFTN1	RFTN1	3.442135465547847E-12	2.704433271821486E-11	0.9404653845119971E0	-0.08855325109840904E0	-1.063303356474832E0	2.396477120751131E0	2.548182166209819E0	0.6257413780063287E0	0.6891884469799651E0
FBXO34	FBXO34	3.442468532455214E-12	2.704433271821486E-11	0.9901944254829733E0	-0.01421626753306501E0	-1.009902675943913E0	1.987211820759557E0	2.006890535452451E0	0.5594442644887495E0	0.6026203455388478E0
COPA	COPA	3.397393477655444E-12	2.671099784417465E-11	0.9805353384018929E0	-0.02835846893862769E0	-1.019851055679269E0	1.551103780567333E0	1.5818948280797E0	0.4098308921772117E0	0.4565434645118522E0
HIF1AN	HIF1AN	3.383182622940252E-12	2.660962718775203E-11	0.9789046767009965E0	-0.03075971426812963E0	-1.021549925954074E0	1.14282750545473E0	1.167455353575559E0	0.1485243616872677E0	0.1889008385761419E0
EPB41	EPB41	3.372968571113721E-12	2.653962571069534E-11	0.9557134241103987E0	-0.06535001182248329E0	-1.046338760942721E0	3.476583846729859E0	3.6376844345008E0	0.8005348194542526E0	0.8538106475826507E0
RSL24D1	RSL24D1	3.305467011216467E-12	2.601863705867116E-11	1.007449696612236E0	0.01070780474841908E0	1.007449696612236E0	1.238728927357875E0	1.22956901126018E0	0.2237476132495055E0	0.241190303776511E0
LOC114679593	.	3.29480887018006E-12	2.594485362958942E-11	0.9999684120095146E0	-4.55725570014946E-5	-1.000031588988318E0	1.000608109808311E0	1.000639718006203E0	9.059281945131638E-4	8.165930046091669E-4
HDAC5	HDAC5	3.275824056458986E-12	2.580541899077949E-11	0.9880566111714189E0	-0.01733439081376217E0	-1.012087757617877E0	1.222047436680795E0	1.236819249892941E0	0.2112991409468319E0	0.2457460910765103E0
CHFR	CHFR	3.273603610409758E-12	2.579798896724787E-11	0.9761918838812218E0	-0.03476333776034177E0	-1.02438876670857E0	1.192916196497575E0	1.222009951316828E0	0.1927501329835807E0	0.2378002453363055E0
POLD3	POLD3	3.268274539891532E-12	2.577217258235188E-11	0.9829898239776266E0	-0.02475161318722668E0	-1.017304529108493E0	1.192129392297273E0	1.212758630067372E0	0.1742429626568834E0	0.2117725451148444E0
KDM3A	KDM3A	3.269051696008789E-12	2.577217258235188E-11	0.98151205847393E0	-0.02692210269904946E0	-1.018836183790564E0	1.405828593611541E0	1.432309039378839E0	0.3181019687872993E0	0.362292442032551E0
ASTL	ASTL	3.234745804547848E-12	2.552163896885056E-11	1.043193157357287E0	0.06100631160735173E0	1.043193157357287E0	1.074786503897368E0	1.030285231759108E0	0.07011270815819404E0	0.04145976903206958E0
SPCS3	SPCS3	3.15403259065761E-12	2.489454875580399E-11	1.007793802870949E0	0.01120049002236958E0	1.007793802870949E0	1.121064512236083E0	1.112394727019013E0	0.1283502828257699E0	0.1390885922560439E0
RHOG	RHOG	3.15214521151574E-12	2.488937802275016E-11	1.005245934018938E0	0.007548500791267723E0	1.005245934018938E0	1.094355554505512E0	1.088644596780727E0	0.09958126960038373E0	0.1119932667436372E0
LOC114675414	.	3.119615676894213E-12	2.464215777939355E-11	0.9998067867623278E0	-2.787747121734592E-4	-1.000193250576242E0	1.000278479821585E0	1.000471784214213E0	4.02842853294759E-4	0.001029233128891529E0
