Gene ID	Gene name	P-value (After vs Before)	FDR step up (After vs Before)	Ratio (After vs Before)	Log2(Ratio) (After vs Before)	Fold change (After vs Before)	LSMean(After) (After vs Before)	LSMean(Before) (After vs Before)	Pct(After) (After vs Before)	Pct(Before) (After vs Before)
HAUS2	HAUS2	0.02643507885857534E0	0.04753701235625932E0	0.9981255625720892E0	-0.002706779219111894E0	-1.001877957541815E0	1.044785645550967E0	1.04674770863361E0	0.05255515109122535E0	0.05900614423015491E0
CCR6	CCR6	0.02642709719488267E0	0.04752689067244591E0	0.9986424740231165E0	-0.001959826553637248E0	-1.001359371358815E0	1.094990040673989E0	1.096478538773469E0	0.08271195842971864E0	0.09013269944151399E0
LOC114675936	.	0.02638806965775642E0	0.04746092884660411E0	0.9994295578888802E0	-8.232088236457072E-4	-1.000570767701052E0	1.000039899128203E0	1.000610689602389E0	2.954685518826826E-4	0.001367558634215412E0
DNAH11	DNAH11	0.02636438828725285E0	0.04742255896570782E0	1.002118361081687E0	0.003052916577974105E0	1.002118361081687E0	1.003722518010423E0	1.001600765928492E0	0.004121702861002662E0	0.002121138127352162E0
C20H16orf71	.	0.02634340909777424E0	0.04738904319173887E0	0.9961265510605398E0	-0.005599056419766133E0	-1.003888510887835E0	1.009183734356536E0	1.013107956295407E0	0.01090130123725586E0	0.01733829753548535E0
LOC114674459	.	0.02626929646165098E0	0.04725993140931919E0	1.001898174314372E0	0.002735890891865244E0	1.001898174314372E0	1.005153931921412E0	1.003249589320061E0	0.007320061658283921E0	0.005796012134340046E0
LOC114676426	.	0.02625194104039028E0	0.04723291511970452E0	0.9957851932314563E0	-0.006093531391782035E0	-1.004232646555896E0	1.004925266652478E0	1.009178760121308E0	0.005980234291709661E0	0.01170426007936786E0
OLFM3	OLFM3	0.02624300619901908E0	0.047221045809157E0	0.999758241092655E0	-3.488265443787009E-4	-1.000241817368848E0	1.000383126530075E0	1.000625036545572E0	7.253932123617568E-4	9.364269623195541E-4
PLCB3	PLCB3	0.02623890307829277E0	0.0472198652542128E0	1.00199599600467E0	0.002876743507425546E0	1.00199599600467E0	1.016561601303795E0	1.014536590322918E0	0.0209521145248858E0	0.02180944775179156E0
SAMD10	SAMD10	0.02624001225929718E0	0.0472198652542128E0	1.00208302568231E0	0.003002045237607594E0	1.00208302568231E0	1.00597028315262E0	1.003879177044899E0	0.007420303611006642E0	0.005978417272366948E0
