Gene ID	Gene name	P-value (After vs Before)	FDR step up (After vs Before)	Ratio (After vs Before)	Fold change (After vs Before)	LSMean(After) (After vs Before)	LSMean(Before) (After vs Before)	Pct(After) (After vs Before)	Pct(Before) (After vs Before)
PPP1R10	PPP1R10	0.0E0	0.0E0	1.068854492016813E0	1.068854492016813E0	1.866804263348069E0	1.746546678983041E0	0.5439341447495238E0	0.5327819804395251E0
ERO1B	ERO1B	0.0E0	0.0E0	1.007630672947969E0	1.007630672947969E0	1.963718973587111E0	1.948847952238262E0	0.5594082045968078E0	0.5979604932789413E0
PPP2CA	.	0.0E0	0.0E0	1.044664976981045E0	1.044664976981045E0	1.623302750114468E0	1.553897934633183E0	0.4472772622668307E0	0.4552114374748293E0
EPOP	EPOP	0.0E0	0.0E0	0.9999568577915019E0	-1.000043144069829E0	1.000172294990903E0	1.000215446494238E0	9.418254945523368E-4	5.650850130013374E-4
CALM2	.	0.0E0	0.0E0	1.036259825470354E0	1.036259825470354E0	1.456933735938027E0	1.405954086154726E0	0.3666236606611497E0	0.3730483369082284E0
EPHB4	EPHB4	0.0E0	0.0E0	1.000498932112222E0	1.000498932112222E0	1.000595388239159E0	1.000096408025877E0	0.001060915222349107E0	2.93168946249157E-4
SUPT20H	SUPT20H	0.0E0	0.0E0	1.004613391719558E0	1.004613391719558E0	1.493431916966391E0	1.486573769846072E0	0.3857743971489274E0	0.4181607757010385E0
PRKAG2	PRKAG2	0.0E0	0.0E0	0.8951657437093181E0	-1.117111559537877E0	2.10222073701091E0	2.348415086015123E0	0.5532363704635164E0	0.6436514909605646E0
ZNF827	ZNF827	0.0E0	0.0E0	0.9457542241133969E0	-1.057357159506696E0	2.13736332019789E0	2.25995640907824E0	0.5523866548601046E0	0.6227177950399316E0
AMD1	AMD1	0.0E0	0.0E0	1.076361221094843E0	1.076361221094843E0	1.660504762512275E0	1.54270214308098E0	0.4622818132534984E0	0.4409633280088447E0
SYDE2	SYDE2	0.0E0	0.0E0	1.000070382240976E0	1.000070382240976E0	1.000294220161795E0	1.000223822167713E0	3.152577540981387E-4	7.127966290546195E-4
PRKD2	PRKD2	0.0E0	0.0E0	0.9646781240447622E0	-1.036615193269998E0	1.366167511916141E0	1.416189999404143E0	0.3059578794224448E0	0.3681791136752499E0
SUN2	SUN2	0.0E0	0.0E0	0.9656898687689868E0	-1.035529140711344E0	1.315138616002592E0	1.361864360945471E0	0.2822187356492061E0	0.3427747288920144E0
PRPF4B	PRPF4B	0.0E0	0.0E0	1.011585606672122E0	1.011585606672122E0	2.123314350574907E0	2.098996206124472E0	0.6220276716726598E0	0.6569179287749589E0
ENTPD4	ENTPD4	0.0E0	0.0E0	0.9912526002777703E0	-1.008824591955449E0	1.479755094546787E0	1.492813329450161E0	0.3732470797007559E0	0.4157179010816905E0
EIF5	EIF5	0.0E0	0.0E0	1.084011044032077E0	1.084011044032077E0	2.199706970842917E0	2.029229298864806E0	0.6126435999862572E0	0.6086018001483391E0
PSEN1	PSEN1	0.0E0	0.0E0	1.003318806117578E0	1.003318806117578E0	1.365059448583999E0	1.360544066612491E0	0.3031084044063663E0	0.3321125474765301E0
EIF4G2	EIF4G2	0.0E0	0.0E0	1.067174812248507E0	1.067174812248507E0	2.798417147691866E0	2.622266863472614E0	0.7411334380721145E0	0.7540170611321669E0
EIF3L	EIF3L	0.0E0	0.0E0	0.9790293971450219E0	-1.021419788737837E0	1.298316912329006E0	1.326126586305854E0	0.2750197098774651E0	0.3260453036939094E0
PTMA	.	0.0E0	0.0E0	1.044979645654646E0	1.044979645654646E0	2.297067099628421E0	2.198193150632502E0	0.6626183432531347E0	0.6803798302234678E0
EIF1	.	0.0E0	0.0E0	1.076844555053806E0	1.076844555053806E0	2.261714563303835E0	2.100316663801885E0	0.6584324397584094E0	0.6537216322681745E0
PTPN1	PTPN1	0.0E0	0.0E0	0.9980771972176281E0	-1.001926507075537E0	1.795438413646475E0	1.798897338454056E0	0.5049304001326365E0	0.546074220376711E0
PYROXD2	PYROXD2	0.0E0	0.0E0	0.9569838229977358E0	-1.044949743108004E0	1.243431945107885E0	1.29932389161277E0	0.2202904791050673E0	0.2871860027666966E0
QRICH1	QRICH1	0.0E0	0.0E0	0.9889695060041942E0	-1.011153522862776E0	1.537055092307595E0	1.554198671420993E0	0.4102356186675558E0	0.4572843046473127E0
EPHA8	EPHA8	0.0E0	0.0E0	1.000291257752955E0	1.000291257752955E0	1.000402686152156E0	1.000111395954265E0	5.16746898894197E-4	3.08284511949948E-4
NUP153	NUP153	0.0E0	0.0E0	0.9763415501046924E0	-1.024231735188132E0	1.744202678240689E0	1.786467735654248E0	0.4874152979416725E0	0.5466805312251435E0
YWHAZ	YWHAZ	0.0E0	0.0E0	1.031637623042275E0	1.031637623042275E0	3.85365507875909E0	3.735473573942323E0	0.8238182102089731E0	0.8535293704340381E0
PNRC1	.	0.0E0	0.0E0	1.090134382969662E0	1.090134382969662E0	1.839699793784989E0	1.687589917835099E0	0.5446251137456102E0	0.5237074533977171E0
TBC1D15	TBC1D15	0.0E0	0.0E0	0.979289467372005E0	-1.021148529947507E0	1.609186063948445E0	1.64321798361297E0	0.432013035758302E0	0.4882922707565901E0
WNT5A	WNT5A	0.0E0	0.0E0	1.000208450473282E0	1.000208450473282E0	1.000293877726799E0	1.000085409449877E0	4.248642411499323E-4	3.572409409074274E-4
GIMAP7	GIMAP7	0.0E0	0.0E0	0.9982132794900456E0	-1.001789918594218E0	1.646553136461647E0	1.649500332536968E0	0.4466682023845625E0	0.490016811815611E0
GEMIN7	GEMIN7	0.0E0	0.0E0	1.000463921130301E0	1.000463921130301E0	1.000556698077417E0	1.000092733925888E0	8.640923284099784E-4	3.786743837545006E-4
GCN1	GCN1	0.0E0	0.0E0	0.9673285705984553E0	-1.033774903786137E0	1.373812915536805E0	1.420213314579214E0	0.3176157562595772E0	0.378365547846144E0
AP4E1	AP4E1	0.0E0	0.0E0	0.9871839567549754E0	-1.012982426585571E0	1.302516972231672E0	1.31942680320013E0	0.2476256309336264E0	0.2904369587272844E0
OXR1	OXR1	0.0E0	0.0E0	0.9270305824915841E0	-1.078713063933981E0	1.640288495766326E0	1.769400629003755E0	0.391251738208592E0	0.4743080559933752E0
WRNIP1	WRNIP1	0.0E0	0.0E0	0.9713495994852931E0	-1.029495457176169E0	1.216942078996276E0	1.252836341973188E0	0.2111265412887228E0	0.2651112042963811E0
PABPC1	PABPC1	0.0E0	0.0E0	1.133158582958965E0	1.133158582958965E0	3.88483763062096E0	3.428326528204605E0	0.8431925607270606E0	0.8435613415404734E0
TATDN2	.	0.0E0	0.0E0	0.991295148310492E0	-1.008781291529918E0	1.343413391055941E0	1.355210295687999E0	0.2785457054697727E0	0.3204848751335199E0
FYB2	FYB2	0.0E0	0.0E0	0.9999483092946393E0	-1.000051693377428E0	1.000194929394483E0	1.00024663284847E0	3.538038495227212E-4	6.602511410923879E-4
TASOR	TASOR	0.0E0	0.0E0	0.9296630731252122E0	-1.075658514259729E0	1.854316288497899E0	1.994611103853266E0	0.5319775875668092E0	0.6151952700090276E0
FUS	.	0.0E0	0.0E0	1.046536512559329E0	1.046536512559329E0	3.540509304269753E0	3.383072890224687E0	0.8216880924870253E0	0.8481040195318474E0
POLR2A	POLR2A	0.0E0	0.0E0	1.020912633452234E0	1.020912633452234E0	1.860677173754941E0	1.822562590359008E0	0.5267470850145141E0	0.5549904512043761E0
FOSB	FOSB	0.0E0	0.0E0	1.197365750465875E0	1.197365750465875E0	4.034918026960594E0	3.369829164890238E0	0.7565639787210613E0	0.732709747348515E0
PCP4	PCP4	0.0E0	0.0E0	1.000470966459543E0	1.000470966459543E0	1.001090784770469E0	1.000619526534707E0	0.00137116427344367E0	4.497056521799845E-4
PDK1	PDK1	0.0E0	0.0E0	0.8944746290595181E0	-1.117974694320212E0	2.14619539690823E0	2.399392142809925E0	0.5620141176622904E0	0.6471059738393048E0
FHDC1	FHDC1	0.0E0	0.0E0	0.9992266488738445E0	-1.000773949660998E0	1.000588596764869E0	1.001363001970133E0	0.001063499103459955E0	0.001117589411468049E0
XRN1	XRN1	0.0E0	0.0E0	0.9731613802458723E0	-1.027578796589058E0	2.288545469259117E0	2.351660799240624E0	0.6416282966990152E0	0.7011509589650129E0
FAU	FAU	0.0E0	0.0E0	1.046172092772769E0	1.046172092772769E0	1.251088118032214E0	1.195872196051738E0	0.2348332824338424E0	0.215110064114868E0
FANCM	FANCM	0.0E0	0.0E0	0.9833049567439294E0	-1.016978500048809E0	1.382143097081942E0	1.405609813723208E0	0.3105425523255764E0	0.36033532805005E0
PITPNB	PITPNB	0.0E0	0.0E0	0.9822057956805624E0	-1.018116574344899E0	1.472114920280026E0	1.498784599677514E0	0.3580047830613362E0	0.406669769735417E0
PKDREJ	PKDREJ	0.0E0	0.0E0	1.000030028788013E0	1.000030028788013E0	1.000468820643617E0	1.000438778679612E0	7.651321711760312E-4	0.001091742105077491E0
FAM107A	FAM107A	0.0E0	0.0E0	1.000018022651811E0	1.000018022651811E0	1.000233300950207E0	1.00021527441858E0	3.221953121346196E-4	7.596260489710653E-4
PLAAT5	PLAAT5	0.0E0	0.0E0	1.000125148496594E0	1.000125148496594E0	1.000316500330136E0	1.000191327889145E0	5.61126002132412E-4	5.122945750225545E-4
PLEC	PLEC	0.0E0	0.0E0	0.9216080757694297E0	-1.085059936313083E0	1.529928232623464E0	1.660063830654002E0	0.3837568263492587E0	0.4742307122892645E0
