Gene ID	Gene name	P-value (After vs Before)	FDR step up (After vs Before)	Ratio (After vs Before)	Fold change (After vs Before)	LSMean(After) (After vs Before)	LSMean(Before) (After vs Before)	Pct(After) (After vs Before)	Pct(Before) (After vs Before)
LYPLAL1	LYPLAL1	0.0E0	0.0E0	0.9835033748260031E0	-1.016773328486967E0	1.148351677186563E0	1.167613357086572E0	0.143600871913222E0	0.1770699309438258E0
INSIG2	INSIG2	0.0E0	0.0E0	0.9912184759440512E0	-1.008859322408801E0	1.06106669610393E0	1.070467028061956E0	0.06816941937181138E0	0.08760051092404074E0
INSIG1	INSIG1	0.0E0	0.0E0	0.9926917231960871E0	-1.007362080929196E0	1.065254786709716E0	1.073097278659686E0	0.07379470920479E0	0.09068512390908304E0
INPPL1	INPPL1	0.0E0	0.0E0	0.9912318533025051E0	-1.008845707155477E0	1.138186128878294E0	1.148254190062778E0	0.1513828943239273E0	0.1786784515951681E0
RBM17	RBM17	0.0E0	0.0E0	0.9963892867381077E0	-1.00362379775651E0	1.275724195527422E0	1.2803471620051E0	0.2540610456526337E0	0.2827935371733392E0
TTC32	TTC32	0.0E0	0.0E0	0.9915678206772076E0	-1.008503885611207E0	1.055093946682975E0	1.064066344914644E0	0.06412208419651513E0	0.08206572241181388E0
IMPDH1	IMPDH1	0.0E0	0.0E0	0.9900927264190504E0	-1.010006409820605E0	1.076264766609438E0	1.087034312939611E0	0.08477824009913792E0	0.1084500465478384E0
ITCH	ITCH	0.0E0	0.0E0	0.9678023252959119E0	-1.033268854457695E0	3.081175845660122E0	3.183683036427953E0	0.7615064425851116E0	0.8164099022925869E0
ITFG2	ITFG2	0.0E0	0.0E0	0.9895410913613768E0	-1.010569453588061E0	1.340371161598842E0	1.354538152382136E0	0.294458988420213E0	0.3363264610091178E0
JUNB	JUNB	0.0E0	0.0E0	1.043857401375617E0	1.043857401375617E0	1.61578268243348E0	1.547895986850472E0	0.4122306783103192E0	0.4176338972596392E0
JUN	JUN	0.0E0	0.0E0	1.158657450728913E0	1.158657450728913E0	3.906805856784747E0	3.371838548422545E0	0.762837742341647E0	0.7632410188613494E0
RBMX	.	0.0E0	0.0E0	0.993341617030821E0	-1.006703014204802E0	1.942380751808844E0	1.955400557579354E0	0.5557155642078141E0	0.6110349585253668E0
JRKL	JRKL	0.0E0	0.0E0	1.002088378617583E0	1.002088378617583E0	1.055112205470057E0	1.052913323798469E0	0.06094513389373434E0	0.06723185783715273E0
LRRC37A	.	0.0E0	0.0E0	0.9815103351153782E0	-1.018837972686705E0	1.404896248472861E0	1.431361645629247E0	0.3142183941748946E0	0.3591138528207233E0
